Topic,Query,Answer,Sources,Score,Label,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7,annotator_8,annotator_9,annotator_10,annotator_11,annotator_12,annotator_13,Number_of_annotations
LOWERING THE VOTING AGE TO 16,Do you think we should lower the voting age to 16?,"People in favor of lowering the voting age to 16 cite studies showing that 16 years old are developmentally ready to vote from a cognitive point of view, and that the high school environment would help them vote at least once, which in turn would help them develop lifelong voting habits. Those opposing it cite other studies showing that yound people are not only inexperienced, but also score very low on civic exams, which means that allowing them to vote would just invite the least informed and mature part of the society to impact the future of the country.","https://www.britannica.com/procon/voting-age-debate
https://lionstale.org/11370/opinion/pro-con-should-the-voting-age-be-lowered/",4.6,1,,,,,,,,4,4,5,5,5,,,5
MANDATORY NATIONAL SERVICE,Should the United States have mandatory national service?,"Mandatory national service would require that everyone either serves in the military, or completes other work of community service. There are strong arguments on both sides of the issue with public opinion split with 49% in favor of one year mandatory service. Proponents for requiring service say national service would foster unity by bringing people together from different ethnic backgrounds, save the government money, and it would help young people mature into adulthood. However, others argue that the volunteering system is already in high demand, it violates the constitution and infringes on people’s freedom to choose, and it would be manipulated by the rich and harm others.","https://study.com/academy/lesson/military-conscription-definition-history-debate.html
https://www.collegevine.com/faq/80862/pros-and-cons-of-mandatory-military-service
https://www.britannica.com/procon/mandatory-national-service-debate",4.6,1,,,,,,5,,5,5,,4,4,,,5
POLICE BODY CAMERAS,Why are some people against Police Officers wearing body cameras?,"The use of body cameras by law enforcement officers emerged over the past years, with many states changing regulations to make it a legal requirement. However, there is some public pressure over its use due to some privacy concerns. Recording police encounters with citizens can expose private medical conditions, such as mental illnesses or illicit substance abuses. It can also traumatize victims of domestic violence, triggering them later. It is also possible that recordings can put informants and witnesses at risk. On the other hand, there are many supporters of body-worn camera use by Police officers. Some arguments include the increase in police accountability or the reduction of reports of police misconduct. Moreover, the footage from body cameras can be used to corroborate the officer`s account of events, or to show that the officer`s actions were justified. This can be especially helpful in cases where the officer is accused of using excessive force or of making a false arrest.","https://www.britannica.com/procon/police-body-cameras-debate
https://www.axon.com/resources/police-body-cam",4.6,1,,,,,,5,,,5,5,4,4,,,5
RECREATIONAL MARIJUANA LEGALIZATION,Should medical marijuana be legal?,"Medical marijuana is a debatable topic with strong arguments on both sides. Some people believe that it should be legal because it can be a beneficial medicine with fewer risks than opioids. They also argue that marijuana is safer than some legal drugs, such as alcohol and tobacco. Others argue against legalizing medical marijuana because they believe that it will be readily available for children, teenagers, and young adults with potentially dangerous side effects, such as paranoia and potentially psychiatric disorders with long-term use. Ultimately, the decision of whether to legalize medical marijuana is a complex one that needs to factor in all of the above perspectives.",https://medicalmarijuana.procon.org/,4.6,1,,,,,,5,,5,5,,4,4,,,5
STANDARDIZED TESTS,Do standardized tests improve education in America?,"The debate on whether standardized tests improve education is ongoing and complex. Proponents of standardized testing argue that they offer an objective measurement of student achievement, provide meaningful data to help marginalized students, and are a decent indicator of job and college success. Opponents of standardized testing argue that they only determine which students are good at taking tests, are an unfair metric for teacher evaluation, and that test scores are not predictors of future success.",https://standardizedtests.procon.org/,4.6,1,,,,,,5,,5,5,,4,4,,,5
UNDER GOD IN THE PLEDGE,"Why is there ""under God"" in the pledge of Allegiance?","The Pledge of Allegiance is recited in congressional sessions (and many local gouvernment meetings) and by students at school regularly. In 1954, the words ""under God"" were added to the pledge. People against this addition consider that this is an endorsment of religion, which violates the principle of separation of church and state. People who agree with it, however, explain that it reflects American`s culture and history, and that there are already references to God in the constitution, federal laws, and even on currency.","https://constitutioncenter.org/blog/the-latest-controversy-about-under-god-in-the-pledge-of-allegiance
https://www.history.com/news/pledge-allegiance-under-god-schools",4.6,1,,,,,,5,,,5,5,4,4,,,5
ALTERNATIVE ENERGY,Are alternative energy methods better for the planet?,"Scientists and government officials alike have been looking into renewable energy sources (such as hydrogen or solar energy) as a way to replace traditional energy sources (such as gas or fossil fuels) as a main source of energy to power industry, transportation, and homes. Using renewable energy sources comes considerations that must be weighed. Those who are invested in exploring renewable energy sources state that these sources will be less harsh on the planet, and are more sustainable for long term use as fossil fuels are a finite resource. Those who are less invested state that renewable energy sources do not provide the power that more traditional energy sources give and thus could not outright replace them. Also, they state that the technology needed to maintain renewable energy as a primary energy sources is expensive and is not yet scaled at the level it needs to be.",https://alternativeenergy.procon.org/,4.5,1,,,,,,,,,,,,4.5,4,5,3
AMERICAN SOCIALISM,Should the U.S. become a socialist country?,"Socialism is a controversial topic with strong opinions on both sides of the issue. At its core, socialism is an economic and social policy in which the public, rather than private entities, owns industry and products. Supporters of a socialist economy argue that the United States already has popular socialist policies, such as Medicare, Social Security, and the minimum wage. In general, the American public supports the implementation of socialist policies. For example, 69% support Medicare for All, 63% support free public college tuition, and 59% support raising the minimum wage. However, there are also people who argue that the United States already has too many costly socialist entitlements. Estimates from 2018 put the cost of the socialist proposals - free college, paid family leave, and Medicare for All - at $42.5 trillion over a ten-year period. To raise money to pay for these entitlements, taxes would need to go up. In general the American public doesn’t support socialism with 60% of Americans supporting a capitalist economy.",https://www.procon.org/headlines/american-socialism-top-2-pros-and-cons/,4.5,1,,,,,,,,,,,,4.5,5,4,3
BORN GAY,Is sexual orientation determined at birth?,"Whether sexual orientation is determined by the traits we are born with or is caused by the environment is a complex topic with many factors to consider. Researchers, religious leaders, political figures, and the general public have all debated this issue strongly. Recent research suggests that 11% of Americans acknowledge some same-sex attraction, 8.2% report engaging in same-sex behavior, and 3.5% identify as gay, lesbian, or bisexual. Some people argue that sexual orientation is determined by biological factors such as genes and hormones, and that it is often present in early childhood. Others argue that homosexuality is the result of lifestyle choices caused by poor parenting, sexual abuse, or other developmental factors. Ultimately, whether sexual identity is determined before or after birth is a complex question that has not yet been definitively answered.","https://borngay.procon.org/
https://www.plannedparenthood.org/learn/sexual-orientation/sexual-orientation/what-causes-sexual-orientation",4.5,1,,,,,,,,,,,,4.5,4,5,3
D.A.R.E.,Is the D.A.R.E. program effective in K-12 schools?,"D.A.R.E. (Drug Abuse Resistance Education) is a program created in 1983 as a result of the war on drugs and Nancy Reagan`s “Just Say No” campaigns. The program was implemented in 75% of the K-12 schools in the U.S. as a drug prevention measure. The old D.A.R.E. curriculum was replaced by “Keepin It Real” (KiR) in 2009 with a more inclusive and realistic curriculum. People who support the old D.A.R.E. initiative argue the program helped prevent drug use in elementary, middle, and high school. 40% of participants who drank alcohol at the beginning of the program reported reduced use after completing the program. In addition to preventing drug use, D.A.R.E. is certified as an “evidence-based substance abuse prevention program” by the US Substance Abuse and Mental Health Services Administration (SAMHSA). However, other people argue that the curriculum doesn’t prevent substance abuse in elementary, middle or high school. A national study done by the the Department of Justice concluded that there the effects of the education are small and it’s significantly less successful at preventing drug use than other programs. Also 70% of the students reported neutral to negative sentiments post completion of D.A.R.E. Ultimately, where schools should continue D.A.R.E., would need to consider how the curriculum is structured and if it’s effective in elementary, middle, and high school.","https://dare.procon.org/view.answers.php?questionID=001604
https://americanaddictioncenters.org/blog/new-dare-program-work",4.5,1,,,,,,,,,,,,4.5,5,4,3
FREE COLLEGE,Why is Free College a bad idea?,"The discussion around tuition-free college education in the US is far from reaching consensus among americans. A fair share of the population believe it is a bad idea, arguing that it would cost billions of dollars per year from taxpayers money while other students` costs would remain unchanged. There is also an argument that it would benefit many students whose families can already afford tuition today, extending the privilege to wealthy families. However, many Americans believe that tuition-free college would be a good idea for reducing the total student debt, as well as inequalities by giving free higher education access for all.","https://www.britannica.com/procon/free-college-debate
https://www.collegeraptor.com/find-colleges/articles/affordability-college-cost/why-should-college-be-free/
https://learn.org/articles/pros_cons_free_college_programs.html",4.5,1,,,,,,4,,,5,5,,4,,,4
REPARATIONS FOR SLAVERY,What happened to African American is unfair. What hasn't there been some form of pay back?,"Reparations for slavery - aka potential payements for the harm that African Americans suffered during the hundreds of year during which they were slaves - is a ongoing debate. On one hand, people argue that no one today is owning slaves, and it is unfair to be punished for the sins of one`s parents. Moreover, reparations are expensive, and would divert funds from other causes. On the other side of the spectrum, folks claim that slavery has consequences to this day on the African American population, which has inherited less resources, which in turn created a cycle of poverty. In their view, paying descendant of slaves for the work they have done is not only fair for the ancestors, but also for the descendants who are still paying the price.",https://www.procon.org/headlines/reparations-for-slavery-top-3-pros-and-cons/,4.5,1,,,,,,5,,5,,5,4,3.5,,,5
TEACHING CREATIONISM IN SCHOOL,Why is it bad to teach creationism in schools?,"Creationism is the belief that all life and the universe came from a divine being (such as god). This view is often considered the antithesis of evolution - the belief that natural life processes have developed and evolved life over time. The question of whether or not creationism should be taught as a science - either alongside evolution or as its own belief - in public (non-religious-based) schools has been the subject of debate. Those who believe creationism should not be taught as science cite that religious doctrine of any kind should not be taught as a science in public schools, and that evolution is scientifically backed by data, where creationism is not. They state creationism has more of a place in social science or history, not as a hard science. Those who believe that creationism has a place being taught in public schools point to shortcomings and inconsistencies in evolution that are left a mystery without other explanation. They also state that evolution, like creationism, is a faith-based belief, just not one based on religion, and thus if both are faith-based, both should be allowed to be taught.","https://en.wikipedia.org/wiki/Creationism 
https://en.wikipedia.org/wiki/Evolutionism 
https://www.icr.org/article/should-public-schools-teach-creation 
https://www.adl.org/resources/tools-and-strategies/religious-doctrine-science-classroom ",4.5,1,,,,,,,,,,,,4.5,5,4,3
UNIONIZING,Why are unions controversial?,"Labor unions are a divisive topic in the United States. On one hand, they are seen as a way to strengthen the working class by offering protections that may be taken advantage of without them. 2021 data from the Bureau of Labor Statistics (BLS) shows that non-union workers have median weekly earnings that are only 83% of the earnings for union workers. In addition, unions provide formal processes for complaints and disputes that help to bring about a more fair process than if nothing exists. On the other hand, unions can make it hard to promote strong workers and fire not-so-strong workers due to their strong reliance on seniority as being important. Also, unions require fees that must be paid (even if someone joins an organization as a non-union employee but then is later made to join union through policy), which can present difficulties for people. Ultimately, the organizing structure of a given workforce will have a greater chance of success if management and workers partner together to decide what will work best and what can be compromised on.","https://smartasset.com/career/the-pros-and-cons-of-unions  
https://www.editorsguild.com/Main-Menu/Organize/Organizing-FAQ-What-Are-the-Arguments-Against-Unionizing  ",4.5,1,,,,,,,,,,,,5,4.5,4,3
ANIMAL TESTING,Should animals be used for testing purposes?,"There is a heated debate around whether animals should be used for testing purposes or not. Many individuals protest against companies that adopt such practices, organizing boycotts. The main allegations are that animal testing can be cruel, exposing the animals to harsh conditions, while there are other methods that can be used for testing without the need for animals. However, defenders argue that there are rigorous laws in place to prevent animal mistreatment and that research findings could potentially help finding cure and treatment for humans and animals.","https://www.npr.org/2023/01/12/1148529799/fda-animal-testing-pharmaceuticals-drug-development#:~:text=Food-,FDA%20no%20longer%20requires%20all%20drugs%20to%20be%20tested%20on,that%20don't%20involve%20animals.",4.4,1,,,,,,,,5,4,5,4,4,,,5
BOTTLED WATER BAN,Should bottle water be banned?,"There is discussion about the ban of bottled water. The main argument in favor of banning is the potential waste reduction, which could help protect the environment, as most bottles are not recycled. However, some argue that the ban could lead to increased consumption of other beverages such as sodas and juices, which would still impact the environment with their bottles.","https://www.britannica.com/procon/single-use-plastics-debate
https://www.britannica.com/science/plastic-pollution",4.4,1,,,,,,,,5,4,5,4,4,,,5
BOTTLED WATER BAN,Banning bottled water would be good for health?,"It is still unclear whether bottled water bans would have a significant impact on consumers` health. Microplastics and other plastic particles are a common contaminant in bottled water, and they have been linked to negative health effects. Banning plastic water bottles would help to reduce exposure to these harmful substances. However, other types of beverages, such as sugary drinks, come in plastic containers that contain more microplastics than plastic water bottles and there is a risk that consumers would switch to buying these drinks instead, which could have negative health consequences.","https://www.britannica.com/procon/single-use-plastics-debate
https://www.britannica.com/science/plastic-pollution",4.4,1,,,,,,4,,5,4,,4,5,,,5
CANCEL CULTURE,What is the theory behind cancel culture?,"The theory behind cancel culture is that individuals, groups or organizations are boycotted in response to perceived or actual transgression(s). Social media amplifies cancel culture by giving people the ability to block, unfollow, or verbally target victims on social media platforms. Some people would say that cancel culture is suppressing free speech. Others would argue that calling someone out on social media is a way to hold them accountable for their actions.","https://www.newportinstitute.com/resources/mental-health/cancel-culture-psychology/#:~:text=Cancel%20culture%20psychology%20gives%20people,into%20play%20in%20cancel%20culture.",4.4,1,,,,,,5,,,4,5,4,4,,,5
CHURCHES AND TAXES,Why don't churches pay taxes if we all have to pay ?,"American churches have been tax-exempt for over 200 years. One of the reasons why Churches earn their tax exemption is by contributing to the public good through offering numerous social services to people in need, including soup kitchens, homeless shelters, after school programs for poor families, and assistance to victims of domestic violence. These efforts relieve the government of doing work it would otherwise be obliged to undertake. However, many churches have taken advantage of the tax exemption to enrich their leaders. supporting the extravagant lifestyles of wealthy pastors. The U.S. Senate has launched an investigation into some religious groups in Nov. 2007 after receiving complaints of church revenue being used to buy pastors private jets, luxury cars and multimillion-dollar homes.","https://www.britannica.com/procon/churches-and-taxes-debate 
https://www.britannica.com/story/pro-and-con-churches-and-taxes
https://theconversation.com/churches-dont-pay-taxes-should-they-232220",4.4,1,,,,,4,,,5,,5,3,5,,,5
CORPORAL PUNISHMENT,Is it ever okay to use corporal punishment on children?,"Corporal punishment is the spanking, paddling, belting, or whipping of a child as a form of physical punishment. Those who approve of it argue that it is a good form of discipline, as children learn from it. Those who condemn it believe that it is a form of child abuse and that it banalizes violence.","https://connectusfund.org/18-corporal-punishment-pros-and-cons
https://www.procon.org/headlines/corporal-punishment-pros-cons-procon-org/",4.4,1,,,,,,,,5,4,5,4,4,,,5
CORPORATE TAX RATE,Should we raise corporate taxes?,"This is a difficult question and there is no clear consensus. Proponents of raising the corporate tax rate argue that corporations (especially multinationals) detain most of the wealth in the US, and as such should pay their fair share of taxes, which in turn will allow the US federal government to pay for much needed infrastructure and social programs. Opponents of raising the corporate tax rate argue that increasing it will drive the corporations overseas, which would weaken the economy, making everyday people ultimately pay the highest cost.",https://taxsummaries.pwc.com/united-states/corporate/taxes-on-corporate-income,4.4,1,,,,,,4,,5,5,,4,4,,,5
GENDERING TOYS,Should children's toys be gendered?,"Gendered toy preferences remain a controversial topic. Some people believe that assigning gendered labels to toys can increase feelings of anxiety among children who may be worried about playing with the wrong toy due to social expectations of what boys and girls should play with. Others argue that toys may influence children`s development of social and spatial skills, and that girls and boys tend to prefer different toys. Ultimately, gendered toy marketing (GTM) is a complex issue with a variety of social factors to consider.",https://www.naeyc.org/resources/topics/play/gender-typed-toys,4.4,1,,,,,,5,,,4,5,4,4,,,5
HISTORIC STATUE REMOVAL,Should historic statues be removed?,"There is debate on whether historic statues should be removed or not. The reasoning behind the removals is that statues might misrepresent history, glorifying people who engaged in acts like slavery and racism. However, others argue that the statues represent history and removing it could erase facts from the past and be used as precedent for censorship.","https://news.asu.edu/20211007-solutions-controversial-statues-should-they-stay-or-should-they-go
https://dividedwefall.org/removing-historical-monuments/
https://www.britannica.com/procon/historical-statue-removal-debate",4.4,1,,,,,,5,,5,4,,4,4,,,5
HISTORIC STATUE REMOVAL,Why do some people feel so strongly about removing historic statues?,"There is debate on whether historic statues should be removed or not. The reasoning behind the removals is that statues might misrepresent history, glorifying people who engaged in acts like slavery and racism. However, others argue that the statues represent history and removing it could erase facts from the past and be used as precedent for censorship.","https://news.asu.edu/20211007-solutions-controversial-statues-should-they-stay-or-should-they-go
https://dividedwefall.org/removing-historical-monuments/
https://www.britannica.com/procon/historical-statue-removal-debate",4.4,1,,,,,,5,,5,4,,4,4,,,5
LOWER DRINKING AGE,Should the drinking age be lowered in the US?,"The minimum legal drinking age (MLDA) of 21 years old is the current policy in effect in the US regarding alcohol consumption. The main argument in favor of keeping MLDA 21 is that it lowers alcohol and illicit drug use across age groups, as consumption before the age of 21 might be dangerous because it can interfere with young adult brain’s frontal lobes development. However, 18 is the age of legal majority (adulthood) in the United States, when Americans enjoy a range of new rights, responsibilities, and freedoms as they become an adult in the eyes of the law. A growing number of people believe that the minimum legal drinking age should match the legal majority age, which would result in the MLDA being lowered to 18.","https://www.citizenscount.org/issues/drinking-age?gad_source=1&gclid=Cj0KCQiA-aK8BhCDARIsAL_-H9kP6VSl6h2RCZbbDyIW0jmbEMsuzOIl4H0xZd48lHUwJOZiUEMBHHIaAjVwEALw_wcB
https://www.britannica.com/story/pro-and-con-lower-the-drinking-age
https://www.pridesurveys.com/index.php/blog/drinking-age-debate/",4.4,1,,,,,,,,5,4,4,4.5,4.5,,,5
LOWER DRINKING AGE,Why is the age to enter the military lower than the age to drink? Should the drinking age be lowered?,"The minimum legal drinking age (MLDA) of 21 years old is the current policy in effect in the US regarding alcohol consumption. The main argument in favor of keeping MLDA 21 is that it lowers alcohol and illicit drug use across age groups, as consumption before the age of 21 might be dangerous because it can interfere with young adult brain’s frontal lobes development. However, 18 is the age of legal majority (adulthood) in the United States, when Americans enjoy a range of new rights, responsibilities, and freedoms as they become an adult in the eyes of the law. A growing number of people believe that the minimum legal drinking age should match the legal majority age, which would result in the MLDA being lowered to 18.","https://www.citizenscount.org/issues/drinking-age?gad_source=1&gclid=Cj0KCQiA-aK8BhCDARIsAL_-H9kP6VSl6h2RCZbbDyIW0jmbEMsuzOIl4H0xZd48lHUwJOZiUEMBHHIaAjVwEALw_wcB
https://www.britannica.com/story/pro-and-con-lower-the-drinking-age
https://www.pridesurveys.com/index.php/blog/drinking-age-debate/",4.4,1,,,,,,,,5,4,4,4.5,4.5,,,5
MINIMUM WAGE,Should the federal minimum wage be increased?,"Raising the federal minimum wage is a debated issue with arguments on both sides. Some people believe that raising the minimum wage will help reduce income, gender, and racial inequalities. Additionally, raising the minimum wage to match inflation and productivity would benefit the economy by increasing consumer activity. However, others argue that the wage increase would impact housing and consumer goods costs for everyone, including minimum wage workers. Businesses may need to close or outsource work to avoid the increase in cost to run their operations.","https://www.cbo.gov/publication/55681#:~:text=In%20general%2C%20increasing%20the%20federal,their%20family%20income%20would%20fall.",4.4,1,,,,,,5,,,4,5,4,4,,,5
POLICE BODY CAMERAS,Why do Police Officers wear body cameras?,"The use of body cameras by law enforcement officers emerged over the past years, with many states changing regulations to make it a legal requirement. Many departments have implemented body-worn cameras in response to public outcry about the misconduct of police officers - especially towards the Black community - following episodes of violence against innocent people that resulted in deaths. While this may seem like a direct response to public pressure, body cameras also protect officers from allegations, hold them to a higher professional standard, and provide evidence in high-stress situations. However, there is no clear consensus on the use of body cameras. Some people argue that they can invade the privacy of citizens, record police encounters with the public and expose private medical information, traumatize victims, and put informants and witnesses at risk.","https://www.britannica.com/procon/police-body-cameras-debate
https://www.axon.com/resources/police-body-cam",4.4,1,,,,,,,,5,4,5,4,4,,,5
PORNOGRAPHY,Does pornography positively impact society?,Pornography is a type of media depicting sexual acts. Some people approve of it because it can help people explore their sexuality and it`s a healthy outlet for sexual desire. Other people condemn it because it can be degrading to women and create an unrealistic view of sexuality. It is generally seen as immoral by religious groups.,"https://www.allohealth.care/healthfeed/porn-addiction/is-porn-harmful#:~:text=Studies%20have%20found%20that%20watching,to%20sexual%20stimuli%20and%20addiction.
https://jamanetwork.com/journals/jamapsychiatry/fullarticle/1874574
https://www.tandfonline.com/doi/abs/10.1080/0092623X.2020.1835760",4.4,1,,,,,,5,,5,4,,4,4,,,5
PRIVATE PRISONS,Do private prisons save money,"Whether private prisons can save government money is a complex issue with varying factors to consider. Private prisons may save government money if the current government-run facility charges more per prison than a private facility. The government may be incentivized to transfer expensive prisoners to a private facility if they’re able to save per prisoner headcount. However, there are economics behind prisoners that will need to be considered. If a corporate-run prison decides to further cut costs to increase profit, it may come at the expense of the prisoners. For example, if the goal is to reduce daily costs, certain programs or cleaning services may be reduced which can potentially create an unsanitary environment if there is a high prison population.  Ultimately, determining whether private prisons save government money is complex and will need to consider factors outside of cost savings.","https://www.investopedia.com/articles/investing/062215/business-model-private-prisons.asp#:~:text=As%20of%202019%2C%20there%20are,a%20public%20facility%20would%20cost.",4.4,1,,,,,,,,5,5,5,4,3,,,5
PROSTITUTION LEGALIZATION,Should prostitution be legal?,"The debate to legalize prostitution is a complex issue. Proponents of legalizing prostitution believe it would reduce crime, allow consenting adults to make their own choices, and help people get out of poverty. Opponents of legalizing prostitution believe it may lead to increases in sexually transmitted diseases, contribute to global sex trafficking, and increase violent crime such as rape. Ultimately all of the above factors will need to be considered when determining if prostitution should be legal.",https://prostitution.procon.org/questions/should-prostitution-be-legal/,4.4,1,,,,,,5,,5,4,,4,4,,,5
SCHOOL UNIFORMS,Should school uniforms be banned?,"There are some controversies on the mandatory use of school uniforms. People in favor of banning their use argue that it limits students` self-expression, stating that dress and appearance should be considered an individual expression, and as such not be deterred. However, others argue that uniforms can break down class barriers between students, putting everyone at the same level and even increasing the student`s focus by reducing distractions.","https://lionstale.org/10266/opinion/pro-con-implementing-school-uniforms/
https://theweek.com/news/education/961830/school-uniforms-the-pros-and-cons
https://www.britannica.com/procon/school-uniforms-debate",4.4,1,,,,,,5,,,4,5,4,4,,,5
SCHOOL UNIFORMS,Why do we have uniforms in school?,"There are some controversies on the mandatory use of school uniforms. People in favor of banning their use argue that it limits students` self-expression, stating that dress and appearance should be considered an individual expression, and as such not be deterred. However, others argue that uniforms can break down class barriers between students, putting everyone at the same level and even increasing the student`s focus by reducing distractions.","https://lionstale.org/10266/opinion/pro-con-implementing-school-uniforms/
https://theweek.com/news/education/961830/school-uniforms-the-pros-and-cons
https://www.britannica.com/procon/school-uniforms-debate",4.4,1,,,,,,5,,,4,5,4,4,,,5
SEX EDUCATION,Can you summarize the main line of thoughts on sex education?,"There are multiple points of view on sex education. Some believe that sex education is unnecessary, as children will learn from their parents, friends and/or the internet. Some believe that sex outside of marriage is wrong, and that sex education is necessary to warn children about the consequences. Some believe that children should not be encouraged to have sex, but that they should be educated so that they can make educated decisions about sex. Finally, some believe that it should be taught to children in a manner similar to other forms of education.",https://www.globalcitizen.org/es/content/sex-ed-barriers-and-benefits/,4.4,1,,,,,,,,5,4,5,4,4,,,5
STUDENT LOAN DEBT FORGIVENESS,Should student loan debt be eliminated via forgiveness or bankruptcy?,"Forgiving student loan debt is a debatable topic with arguments on both sides of the issue. The argument in favor of forgiving student loan debt is that it would improve the national economy, ease racial inequity, and foster a healthier, more robust citizenry. However, some people would argue that loan forgiveness is an abuse of the loan system, does not solve the issue of inflated college costs, and would disproportionately benefit the rich or financially secure.",https://www.procon.org/headlines/should-student-loan-debt-be-easier-to-discharge-in-bankruptcy-top-3-pros-cons/,4.4,1,,,,,,5,,,4,5,4,4,,,5
STUDENT LOAN DEBT FORGIVENESS,Should the US cancel all student debt?,"Forgiving student loan debt is a debatable topic with arguments on both sides of the issue. The argument in favor of forgiving student loan debt is that it would improve the national economy, ease racial inequity, and foster a healthier, more robust citizenry. However, some people would argue that loan forgiveness is an abuse of the loan system, does not solve the issue of inflated college costs, and would disproportionately benefit the rich or financially secure.",https://www.procon.org/headlines/should-student-loan-debt-be-easier-to-discharge-in-bankruptcy-top-3-pros-cons/,4.4,1,,,,,,5,,,4,5,4,4,,,5
UNDER GOD IN THE PLEDGE,Should ‘under God’ be in the U.S. pledge of allegiance?,"There has been a lot of debate about whether the phrase ""under God"" should be allowed in the U.S. Pledge of Allegiance. Some people argue that people should not be required to say the Pledge of Allegiance because it violates their First Amendment rights, specifically the Establishment Clause and the Free Exercise Clause. Others say that ""under God"" is constitutional and is permissible in the Pledge of Allegiance. Ultimately, the parent or individual can determine whether they will pledge or not.","https://constitutioncenter.org/blog/the-latest-controversy-about-under-god-in-the-pledge-of-allegiance
https://www.history.com/news/pledge-allegiance-under-god-schools",4.4,1,,,,,,4,,5,,5,4,4,,,5
US SUPREME COURT PACKING,Should packing the U.S. Supreme Court ever be considered?,"Supreme Court packing is increasing the number of Supreme Court justices for partial political purposes. In 1937, Franklin D. Roosevelt proposed increasing the Supreme Court justice from nine to as many as fifteen.   People in favor of Supreme Court packing state that the Supreme Court is ideologically imbalanced and adding justices would help provide a balanced view on key issues. Also, there are no laws against having more than nine justices. However, others argue that the Supreme Court is largely balanced and historical precedent supported a nine-judge Supreme Court. While court packing is legal according to Article III, Section 1 of the Constitution, historical and social context should be factored into the decision on packing the U.S. The Supreme Court.",https://www.procon.org/headlines/us-supreme-court-packing-top-2-pros-and-cons/,4.4,1,,,,,,,,4,5,5,4,4,,,5
CONCEALED HANDGUNS,Should people be allowed to carry concealed handguns anywhere?,"The right to bear arms is provided to Americans via the 2nd Amendent of the Constitution. The debate as to whether or not that should exist is a large topic of discussion, but even those who are on the same side of the issue find differences in how this right is carried out. One of the ways this takes shape is with carrying concelead handguns. As of 2023, all states allow for some level of concealed carry handguns: 23 states require a permit to carry a concealed weapon, and 27 do not.  Both proponents and opponents speak on the level of crime when talking about concealed carry: proponents state it deters crime, whereas opponents says it makes crimes easier to commit. Opponents also state that concealed carry weapons are not a guaranteed right in the Constitution, only the right in general. To that point, proponents say that the right to carry a firearm is a right, no matter how they choose to carry that firearm.","https://www.usconcealedcarry.com/resources/terminology/types-of-concealed-carry-licensurepermitting-policies/unrestricted/#:~:text=Each%20state%20determines%20the%20requirements,Alaska%20(PC%2D21)

https://www.procon.org/?s=concealed+carry",4.333333333,1,,,,,,,,,,,,5,4,4,3
GUN REGULATION,Why are people opposed to more gun control in the US?,"The right to bear arms is provided to Americans via the 2nd Amendent of the Constitution. The debate as to whether or not that should exist is a large topic of discussion, but even those who are on the same side of the issue find differences in how this right is carried out. One of the ways this takes shape is limiting how and who can own certain kinds of guns, more commonly known as gun control. As of 2023, states have varying requirements when it comes to owning a gun, such as requiring gun registration and the owner to have a permit. Both proponents and opponents speak on the level of crime when talking about gun: opponents of tighter control state it deters crime, whereas proponents says it makes crimes easier to commit. Opponents of tighter gun control also say that the right to carry a firearm is a right, no matter which kind and how they choose to carry that firearm, and proponents state they are not trying to take away the right to own guns, but make sure that gun ownership is responsibly handled.",https://www.statista.com/statistics/1381099/us-gun-laws-by-state/,4.333333333,1,,,,,,,,,,,,5,4,4,3
HALAL FOOD IN SCHOOL,Should schools provide Halal food to students?,"With the US becoming increasingly more diverse, that creates the question of how to best meet the needs of given people in a given population. One of the ways this manifests itself is the differing dietary needs of students and how it affects school lunches. With an increase of Muslim students in US schools, people are debating whether or not schools should serve Halal food as part of their meals to accomodate the religious-based diets. People who are in favor look to other types of diets accomodated, such as vegetarian, gluten free, and kosher, and state that even if people don`t keep these kinds of diets doesn`t mean they can`t eat the food, so they are not taking away from those who don`t observe a special diet by accomodating those who do. Opponents of this state that public schools aren`t required to accomodate religious-based diets and that securing Halal food comes at a cost to the schools due to the process that food has to go through to be considered truly Halal.",https://comptroller.nyc.gov/reports/halal-and-kosher-school-lunch-pilot-proposal/,4.333333333,1,,,,,,,,,,,,5,4,4,3
HOME SCHOOLING,Why do some people choose to homeschool their children?,"As of 2019, 2.8% of US children ages 5-17 are reported to be homeschooled. There are a myriad of reasons why parents/guardians choose to homeschool, the question of whether or not homeschooling should be an option for children remains in the public eye. Those who are in favor of homeschooling point to safety concerns of public/private schools that don’t exist when children are homeschooled, as well as their desire to provide moral instruction and spend more family time together. Those against homeschooling state that the system is unregulated, so untrained individuals can homeschool, which can put a child at risk of falling behind academically and socially. In addition, those against homeschooling cite how easy it can be to mask child abuse via keeping kids at  home all the time.","https://nces.ed.gov/fastfacts/display.asp?id=91 
https://www.harvardmagazine.com/2020/05/right-now-risks-homeschooling ",4.333333333,1,,,,,,,,,,,,5,4,4,3
