Topic,Query,Split,Answer,Score
GAY MARRIAGE,I oppose gay marriage. Can you give me some arguments against it?,TRAIN,NA,0
GAY MARRIAGE,What do you think of gay marriage?,TRAIN,NA,0
GAY MARRIAGE,Tell me more about gay marriage,TRAIN,NA,0
GAY MARRIAGE,"I support gay marriage, what about you?",TRAIN,NA,0
GAY MARRIAGE,Can you give me some argument against gay marriage?,TRAIN,NA,0
GAY MARRIAGE,Are you against gay marriage?,TRAIN,NA,0
GAY MARRIAGE,"Everyone should back up gay marriage, right?",TRAIN,NA,0
GENDERING TOYS,Can you explain to me why there is a polemic about gendering toys?,TRAIN,NA,0
GENDERING TOYS,How do you feel about gendering toys?,TRAIN,NA,0
GENDERING TOYS,I endorse gendering toys. Can you give me some pro arguments on the subject?,TRAIN,NA,0
GENDERING TOYS,I oppose gendering toys. Can you give me some arguments against it?,TRAIN,NA,0
GENDERING TOYS,What do you think of gendering toys?,TRAIN,NA,0
GENDERING TOYS,Tell me more about gendering toys,TRAIN,NA,0
GENDERING TOYS,"I support gendering toys, what about you?",TRAIN,NA,0
GENDERING TOYS,Can you give me some argument against gendering toys?,TRAIN,NA,0
GENDERING TOYS,Are you against gendering toys?,TRAIN,NA,0
GENDERING TOYS,"Everyone should back up gendering toys, right?",TRAIN,NA,0
GMO,Can you explain to me why there is a polemic about GMOs?,TRAIN,NA,0
GMO,How do you feel about GMOs?,TRAIN,NA,0
GMO,I endorse GMOs. Can you give me some pro arguments on the subject?,TRAIN,NA,0
GMO,I oppose GMOs. Can you give me some arguments against them?,TRAIN,NA,0
GMO,What do you think of GMOs?,TRAIN,NA,0
GMO,Tell me more about GMOs,TRAIN,NA,0
GMO,"I support GMOs, what about you?",TRAIN,NA,0
GMO,Can you give me some argument against GMOs?,TRAIN,NA,0
GMO,Are you against GMOs?,TRAIN,NA,0
GMO,"Everyone should back up GMOs, right?",TRAIN,NA,0
GROUND ZERO MOSQUE,Can you explain to me why there is a polemic about building a Mosque at Ground Zero?,TRAIN,NA,0
GROUND ZERO MOSQUE,How do you feel about building a Mosque at Ground Zero?,TRAIN,NA,0
GROUND ZERO MOSQUE,I endorse building a Mosque at Ground Zero. Can you give me some pro arguments on the subject?,TRAIN,NA,0
GROUND ZERO MOSQUE,I oppose building a Mosque at Ground Zero. Can you give me some arguments against it?,TRAIN,NA,0
GROUND ZERO MOSQUE,What do you think of building a Mosque at Ground Zero?,TRAIN,NA,0
GROUND ZERO MOSQUE,Tell me more about building a Mosque at Ground Zero,TRAIN,NA,0
GROUND ZERO MOSQUE,"I support building a Mosque at Ground Zero, what about you?",TRAIN,NA,0
GROUND ZERO MOSQUE,Can you give me some argument against building a Mosque at Ground Zero?,TRAIN,NA,0
GROUND ZERO MOSQUE,Are you against building a Mosque at Ground Zero?,TRAIN,NA,0
GROUND ZERO MOSQUE,"Everyone should back up building a Mosque at Ground Zero, right?",TRAIN,NA,0
GUN REGULATION,Can you explain to me why there is a polemic about gun regulations?,TRAIN,NA,0
GUN REGULATION,How do you feel about gun regulations?,TRAIN,NA,0
GUN REGULATION,I endorse gun regulations. Can you give me some pro arguments on the subject?,TRAIN,NA,0
GUN REGULATION,I oppose gun regulations. Can you give me some arguments against them?,TRAIN,NA,0
GUN REGULATION,What do you think of gun regulations?,TRAIN,NA,0
GUN REGULATION,Tell me more about gun regulations,TRAIN,NA,0
GUN REGULATION,"I support gun regulations, what about you?",TRAIN,NA,0
GUN REGULATION,Can you give me some argument against gun regulations?,TRAIN,NA,0
GUN REGULATION,Are you against gun regulations?,TRAIN,NA,0
GUN REGULATION,"Everyone should back up gun regulations, right?",TRAIN,NA,0
HALAL FOOD IN SCHOOL,Can you explain to me why there is a polemic about having halal food in school?,TRAIN,NA,0
HALAL FOOD IN SCHOOL,How do you feel about having halal food in school?,TRAIN,NA,0
HALAL FOOD IN SCHOOL,I endorse having halal food in school. Can you give me some pro arguments on the subject?,TRAIN,NA,0
HALAL FOOD IN SCHOOL,I oppose having halal food in school. Can you give me some arguments against it?,TRAIN,NA,0
HALAL FOOD IN SCHOOL,What do you think of having halal food in school?,TRAIN,NA,0
HALAL FOOD IN SCHOOL,Tell me more about having halal food in school,TRAIN,NA,0
HALAL FOOD IN SCHOOL,"I support having halal food in school, what about you?",TRAIN,NA,0
HALAL FOOD IN SCHOOL,Can you give me some argument against having halal food in school?,TRAIN,NA,0
HALAL FOOD IN SCHOOL,Are you against having halal food in school?,TRAIN,NA,0
HALAL FOOD IN SCHOOL,"Everyone should back up having halal food in school, right?",TRAIN,NA,0
HATE SPEECH,Can you explain to me why there is a polemic about allowing hate speech?,TRAIN,NA,0
HATE SPEECH,How do you feel about allowing hate speech?,TRAIN,NA,0
HATE SPEECH,I endorse allowing hate speech. Can you give me some pro arguments on the subject?,TRAIN,NA,0
HATE SPEECH,I oppose allowing hate speech. Can you give me some arguments against it?,TRAIN,NA,0
HATE SPEECH,What do you think of allowing hate speech?,TRAIN,NA,0
HATE SPEECH,Tell me more about allowing hate speech,TRAIN,NA,0
HATE SPEECH,"I support allowing hate speech, what about you?",TRAIN,NA,0
HATE SPEECH,Can you give me some argument against allowing hate speech?,TRAIN,NA,0
HATE SPEECH,Are you against allowing hate speech?,TRAIN,NA,0
HATE SPEECH,"Everyone should back up allowing hate speech, right?",TRAIN,NA,0
HELPING THE HOMELESS,Can you explain to me why there is a polemic about helping the homeless?,TRAIN,NA,0
HELPING THE HOMELESS,How do you feel about helping the homeless?,TRAIN,NA,0
HELPING THE HOMELESS,I endorse helping the homeless. Can you give me some pro arguments on the subject?,TRAIN,NA,0
HELPING THE HOMELESS,I oppose helping the homeless. Can you give me some arguments against it?,TRAIN,NA,0
HELPING THE HOMELESS,What do you think of helping the homeless?,TRAIN,NA,0
HELPING THE HOMELESS,Tell me more about helping the homeless,TRAIN,NA,0
HELPING THE HOMELESS,"I support helping the homeless, what about you?",TRAIN,NA,0
HELPING THE HOMELESS,Can you give me some argument against helping the homeless?,TRAIN,NA,0
HELPING THE HOMELESS,Are you against helping the homeless?,TRAIN,NA,0
HELPING THE HOMELESS,"Everyone should back up helping the homeless, right?",TRAIN,NA,0
HISTORIC STATUE REMOVAL,Can you explain to me why there is a polemic about historic statues removal?,TRAIN,NA,0
HISTORIC STATUE REMOVAL,How do you feel about historic statues removal?,TRAIN,NA,0
HISTORIC STATUE REMOVAL,I endorse historic statues removal. Can you give me some pro arguments on the subject?,TRAIN,NA,0
HISTORIC STATUE REMOVAL,I oppose historic statues removal. Can you give me some arguments against it?,TRAIN,NA,0
HISTORIC STATUE REMOVAL,What do you think of historic statues removal?,TRAIN,NA,0
HISTORIC STATUE REMOVAL,Tell me more about historic statues removal,TRAIN,NA,0
HISTORIC STATUE REMOVAL,"I support historic statues removal, what about you?",TRAIN,NA,0
HISTORIC STATUE REMOVAL,Can you give me some argument against historic statues removal?,TRAIN,NA,0
HISTORIC STATUE REMOVAL,Are you against historic statues removal?,TRAIN,NA,0
HISTORIC STATUE REMOVAL,"Everyone should back up historic statues removal, right?",TRAIN,NA,0
HOME SCHOOLING,Can you explain to me why there is a polemic about home schooling?,TRAIN,NA,0
HOME SCHOOLING,How do you feel about home schooling?,TRAIN,NA,0
HOME SCHOOLING,I endorse home schooling. Can you give me some pro arguments on the subject?,TRAIN,NA,0
HOME SCHOOLING,I oppose home schooling. Can you give me some arguments against it?,TRAIN,NA,0
HOME SCHOOLING,What do you think of home schooling?,TRAIN,NA,0
HOME SCHOOLING,Tell me more about home schooling,TRAIN,NA,0
HOME SCHOOLING,"I support home schooling, what about you?",TRAIN,NA,0
HOME SCHOOLING,Can you give me some argument against home schooling?,TRAIN,NA,0
HOME SCHOOLING,Are you against home schooling?,TRAIN,NA,0
HOME SCHOOLING,"Everyone should back up home schooling, right?",TRAIN,NA,0
ILLEGAL IMMIGRATION,Can you explain to me why there is a polemic about illegal immigration?,TRAIN,NA,0
ILLEGAL IMMIGRATION,How do you feel about illegal immigration?,TRAIN,NA,0
ILLEGAL IMMIGRATION,I endorse illegal immigration. Can you give me some pro arguments on the subject?,TRAIN,NA,0
ILLEGAL IMMIGRATION,I oppose illegal immigration. Can you give me some arguments against it?,TRAIN,NA,0
ILLEGAL IMMIGRATION,What do you think of illegal immigration?,TRAIN,NA,0
ILLEGAL IMMIGRATION,Tell me more about illegal immigration,TRAIN,NA,0
ILLEGAL IMMIGRATION,"I support illegal immigration, what about you?",TRAIN,NA,0
ILLEGAL IMMIGRATION,Can you give me some argument against illegal immigration?,TRAIN,NA,0
ILLEGAL IMMIGRATION,Are you against illegal immigration?,TRAIN,NA,0
ILLEGAL IMMIGRATION,"Everyone should back up illegal immigration, right?",TRAIN,NA,0
INTERNET MAKING US STUPID,Can you explain to me why there is a polemic about the belief that internet is making us stupid?,TRAIN,NA,0
INTERNET MAKING US STUPID,How do you feel about the belief that internet is making us stupid?,TRAIN,NA,0
INTERNET MAKING US STUPID,I endorse the belief that internet is making us stupid. Can you give me some pro arguments on the subject?,TRAIN,NA,0
INTERNET MAKING US STUPID,I oppose the belief that internet is making us stupid. Can you give me some arguments against it?,TRAIN,NA,0
INTERNET MAKING US STUPID,What do you think of the belief that internet is making us stupid?,TRAIN,NA,0
INTERNET MAKING US STUPID,Tell me more about the belief that internet is making us stupid,TRAIN,NA,0
INTERNET MAKING US STUPID,"I support the belief that internet is making us stupid, what about you?",TRAIN,NA,0
INTERNET MAKING US STUPID,Can you give me some argument against the belief that internet is making us stupid?,TRAIN,NA,0
INTERNET MAKING US STUPID,Are you against the belief that internet is making us stupid?,TRAIN,NA,0
INTERNET MAKING US STUPID,"Everyone should back up the belief that internet is making us stupid, right?",TRAIN,NA,0
KNEELING DURING NATIONAL ANTHEM,Can you explain to me why there is a polemic about kneeling during national anthem?,TRAIN,NA,0
KNEELING DURING NATIONAL ANTHEM,How do you feel about kneeling during national anthem?,TRAIN,NA,0
KNEELING DURING NATIONAL ANTHEM,I endorse kneeling during national anthem. Can you give me some pro arguments on the subject?,TRAIN,NA,0
KNEELING DURING NATIONAL ANTHEM,I oppose kneeling during national anthem. Can you give me some arguments against it?,TRAIN,NA,0
KNEELING DURING NATIONAL ANTHEM,What do you think of kneeling during national anthem?,TRAIN,NA,0
KNEELING DURING NATIONAL ANTHEM,Tell me more about kneeling during national anthem,TRAIN,NA,0
KNEELING DURING NATIONAL ANTHEM,"I support kneeling during national anthem, what about you?",TRAIN,NA,0
KNEELING DURING NATIONAL ANTHEM,Can you give me some argument against kneeling during national anthem?,TRAIN,NA,0
KNEELING DURING NATIONAL ANTHEM,Are you against kneeling during national anthem?,TRAIN,NA,0
KNEELING DURING NATIONAL ANTHEM,"Everyone should back up kneeling during national anthem, right?",TRAIN,NA,0
LGBT ADOPTION RIGHTS,Can you explain to me why there is a polemic about LGBT adoption rights?,TRAIN,NA,0
LGBT ADOPTION RIGHTS,How do you feel about LGBT adoption rights?,TRAIN,NA,0
LGBT ADOPTION RIGHTS,I endorse LGBT adoption rights. Can you give me some pro arguments on the subject?,TRAIN,NA,0
LGBT ADOPTION RIGHTS,I oppose LGBT adoption rights. Can you give me some arguments against them?,TRAIN,NA,0
LGBT ADOPTION RIGHTS,What do you think of LGBT adoption rights?,TRAIN,NA,0
LGBT ADOPTION RIGHTS,Tell me more about LGBT adoption rights,TRAIN,NA,0
LGBT ADOPTION RIGHTS,"I support LGBT adoption rights, what about you?",TRAIN,NA,0
LGBT ADOPTION RIGHTS,Can you give me some argument against LGBT adoption rights?,TRAIN,NA,0
LGBT ADOPTION RIGHTS,Are you against LGBT adoption rights?,TRAIN,NA,0
LGBT ADOPTION RIGHTS,"Everyone should back up LGBT adoption rights, right?",TRAIN,NA,0
LOWER DRINKING AGE,Can you explain to me why there is a polemic about lowering the drinking age?,TRAIN,NA,0
LOWER DRINKING AGE,How do you feel about lowering the drinking age?,TRAIN,NA,0
LOWER DRINKING AGE,I endorse lowering the drinking age. Can you give me some pro arguments on the subject?,TRAIN,NA,0
LOWER DRINKING AGE,I oppose lowering the drinking age. Can you give me some arguments against it?,TRAIN,NA,0
LOWER DRINKING AGE,What do you think of lowering the drinking age?,TRAIN,NA,0
LOWER DRINKING AGE,Tell me more about lowering the drinking age,TRAIN,NA,0
LOWER DRINKING AGE,"I support lowering the drinking age, what about you?",TRAIN,NA,0
LOWER DRINKING AGE,Can you give me some argument against lowering the drinking age?,TRAIN,NA,0
LOWER DRINKING AGE,Are you against lowering the drinking age?,TRAIN,NA,0
LOWER DRINKING AGE,"Everyone should back up lowering the drinking age, right?",TRAIN,NA,0
LOWERING THE VOTING AGE TO 16,Can you explain to me why there is a polemic about lowering the voting age to 16?,TRAIN,NA,0
LOWERING THE VOTING AGE TO 16,How do you feel about lowering the voting age to 16?,TRAIN,NA,0
LOWERING THE VOTING AGE TO 16,I endorse lowering the voting age to 16. Can you give me some pro arguments on the subject?,TRAIN,NA,0
LOWERING THE VOTING AGE TO 16,I oppose lowering the voting age to 16. Can you give me some arguments against it?,TRAIN,NA,0
LOWERING THE VOTING AGE TO 16,What do you think of lowering the voting age to 16?,TRAIN,NA,0
LOWERING THE VOTING AGE TO 16,Tell me more about lowering the voting age to 16,TRAIN,NA,0
LOWERING THE VOTING AGE TO 16,"I support lowering the voting age to 16, what about you?",TRAIN,NA,0
LOWERING THE VOTING AGE TO 16,Can you give me some argument against lowering the voting age to 16?,TRAIN,NA,0
LOWERING THE VOTING AGE TO 16,Are you against lowering the voting age to 16?,TRAIN,NA,0
LOWERING THE VOTING AGE TO 16,"Everyone should back up lowering the voting age to 16, right?",TRAIN,NA,0
MANDATORY NATIONAL SERVICE,Can you explain to me why there is a polemic about having a mandatory national service?,TRAIN,NA,0
MANDATORY NATIONAL SERVICE,How do you feel about having a mandatory national service?,TRAIN,NA,0
MANDATORY NATIONAL SERVICE,I endorse having a mandatory national service. Can you give me some pro arguments on the subject?,TRAIN,NA,0
MANDATORY NATIONAL SERVICE,I oppose having a mandatory national service. Can you give me some arguments against it?,TRAIN,NA,0
MANDATORY NATIONAL SERVICE,What do you think of having a mandatory national service?,TRAIN,NA,0
MANDATORY NATIONAL SERVICE,Tell me more about having a mandatory national service,TRAIN,NA,0
MANDATORY NATIONAL SERVICE,"I support having a mandatory national service, what about you?",TRAIN,NA,0
MANDATORY NATIONAL SERVICE,Can you give me some argument against having a mandatory national service?,TRAIN,NA,0
MANDATORY NATIONAL SERVICE,Are you against having a mandatory national service?,TRAIN,NA,0
MANDATORY NATIONAL SERVICE,"Everyone should back up having a mandatory national service, right?",TRAIN,NA,0
MINIMUM WAGE,Can you explain to me why there is a polemic about minimum wages?,TRAIN,NA,0
MINIMUM WAGE,How do you feel about minimum wages?,TRAIN,NA,0
MINIMUM WAGE,I endorse minimum wages. Can you give me some pro arguments on the subject?,TRAIN,NA,0
MINIMUM WAGE,I oppose minimum wages. Can you give me some arguments against them?,TRAIN,NA,0
MINIMUM WAGE,What do you think of minimum wages?,TRAIN,NA,0
MINIMUM WAGE,Tell me more about minimum wages,TRAIN,NA,0
MINIMUM WAGE,"I support minimum wages, what about you?",TRAIN,NA,0
MINIMUM WAGE,Can you give me some argument against minimum wages?,TRAIN,NA,0
MINIMUM WAGE,Are you against minimum wages?,TRAIN,NA,0
MINIMUM WAGE,"Everyone should back up minimum wages, right?",TRAIN,NA,0
NET NEUTRALITY,Can you explain to me why there is a polemic about net neutrality?,TRAIN,NA,0
NET NEUTRALITY,How do you feel about net neutrality?,TRAIN,NA,0
NET NEUTRALITY,I endorse net neutrality. Can you give me some pro arguments on the subject?,TRAIN,NA,0
NET NEUTRALITY,I oppose net neutrality. Can you give me some arguments against it?,TRAIN,NA,0
NET NEUTRALITY,What do you think of net neutrality?,TRAIN,NA,0
NET NEUTRALITY,Tell me more about net neutrality,TRAIN,NA,0
NET NEUTRALITY,"I support net neutrality, what about you?",TRAIN,NA,0
NET NEUTRALITY,Can you give me some argument against net neutrality?,TRAIN,NA,0
NET NEUTRALITY,Are you against net neutrality?,TRAIN,NA,0
NET NEUTRALITY,"Everyone should back up net neutrality, right?",TRAIN,NA,0
OBAMACARE,Can you explain to me why there is a polemic about Obamacare?,TRAIN,NA,0
OBAMACARE,How do you feel about Obamacare?,TRAIN,NA,0
OBAMACARE,I endorse Obamacare. Can you give me some pro arguments on the subject?,TRAIN,NA,0
OBAMACARE,I oppose Obamacare. Can you give me some arguments against it?,TRAIN,NA,0
OBAMACARE,What do you think of Obamacare?,TRAIN,NA,0
OBAMACARE,Tell me more about Obamacare,TRAIN,NA,0
OBAMACARE,"I support Obamacare, what about you?",TRAIN,NA,0
OBAMACARE,Can you give me some argument against Obamacare?,TRAIN,NA,0
OBAMACARE,Are you against Obamacare?,TRAIN,NA,0
OBAMACARE,"Everyone should back up Obamacare, right?",TRAIN,NA,0
OBESITY,Can you explain to me why there is a polemic about the fact that obesity should be cured?,TRAIN,NA,0
OBESITY,How do you feel about the fact that obesity should be cured?,TRAIN,NA,0
OBESITY,I endorse the fact that obesity should be cured. Can you give me some pro arguments on the subject?,TRAIN,NA,0
OBESITY,I oppose the fact that obesity should be cured. Can you give me some arguments against it?,TRAIN,NA,0
OBESITY,What do you think of the fact that obesity should be cured?,TRAIN,NA,0
OBESITY,Tell me more about the fact that obesity should be cured,TRAIN,NA,0
OBESITY,"I support the fact that obesity should be cured, what about you?",TRAIN,NA,0
OBESITY,Can you give me some argument against the fact that obesity should be cured?,TRAIN,NA,0
OBESITY,Are you against the fact that obesity should be cured?,TRAIN,NA,0
OBESITY,"Everyone should back up the fact that obesity should be cured, right?",TRAIN,NA,0
OVER THE COUNTER BIRTH CONTROL PILLS,Can you explain to me why there is a polemic about over the counter birth control pills?,TRAIN,NA,0
OVER THE COUNTER BIRTH CONTROL PILLS,How do you feel about over the counter birth control pills?,TRAIN,NA,0
OVER THE COUNTER BIRTH CONTROL PILLS,I endorse over the counter birth control pills. Can you give me some pro arguments on the subject?,TRAIN,NA,0
OVER THE COUNTER BIRTH CONTROL PILLS,I oppose over the counter birth control pills. Can you give me some arguments against them?,TRAIN,NA,0
OVER THE COUNTER BIRTH CONTROL PILLS,What do you think of over the counter birth control pills?,TRAIN,NA,0
OVER THE COUNTER BIRTH CONTROL PILLS,Tell me more about over the counter birth control pills,TRAIN,NA,0
OVER THE COUNTER BIRTH CONTROL PILLS,"I support over the counter birth control pills, what about you?",TRAIN,NA,0
OVER THE COUNTER BIRTH CONTROL PILLS,Can you give me some argument against over the counter birth control pills?,TRAIN,NA,0
OVER THE COUNTER BIRTH CONTROL PILLS,Are you against over the counter birth control pills?,TRAIN,NA,0
OVER THE COUNTER BIRTH CONTROL PILLS,"Everyone should back up over the counter birth control pills, right?",TRAIN,NA,0
PAYING COLLEGE ATHLETES,Can you explain to me why there is a polemic about paying college athletes?,TRAIN,NA,0
PAYING COLLEGE ATHLETES,How do you feel about paying college athletes?,TRAIN,NA,0
PAYING COLLEGE ATHLETES,I endorse paying college athletes. Can you give me some pro arguments on the subject?,TRAIN,NA,0
PAYING COLLEGE ATHLETES,I oppose paying college athletes. Can you give me some arguments against it?,TRAIN,NA,0
PAYING COLLEGE ATHLETES,What do you think of paying college athletes?,TRAIN,NA,0
PAYING COLLEGE ATHLETES,Tell me more about paying college athletes,TRAIN,NA,0
PAYING COLLEGE ATHLETES,"I support paying college athletes, what about you?",TRAIN,NA,0
PAYING COLLEGE ATHLETES,Can you give me some argument against paying college athletes?,TRAIN,NA,0
PAYING COLLEGE ATHLETES,Are you against paying college athletes?,TRAIN,NA,0
PAYING COLLEGE ATHLETES,"Everyone should back up paying college athletes, right?",TRAIN,NA,0
POLICE BODY CAMERAS,Can you explain to me why there is a polemic about police body cameras?,TRAIN,NA,0
POLICE BODY CAMERAS,How do you feel about police body cameras?,TRAIN,NA,0
POLICE BODY CAMERAS,I endorse police body cameras. Can you give me some pro arguments on the subject?,TRAIN,NA,0
POLICE BODY CAMERAS,I oppose police body cameras. Can you give me some arguments against them?,TRAIN,NA,0
POLICE BODY CAMERAS,What do you think of police body cameras?,TRAIN,NA,0
POLICE BODY CAMERAS,Tell me more about police body cameras,TRAIN,NA,0
POLICE BODY CAMERAS,"I support police body cameras, what about you?",TRAIN,NA,0
POLICE BODY CAMERAS,Can you give me some argument against police body cameras?,TRAIN,NA,0
POLICE BODY CAMERAS,Are you against police body cameras?,TRAIN,NA,0
POLICE BODY CAMERAS,"Everyone should back up police body cameras, right?",TRAIN,NA,0
POLICE BRUTALITY,Can you explain to me why there is a polemic about the fact that police brutality exist?,TRAIN,NA,0
POLICE BRUTALITY,How do you feel about the fact that police brutality exist?,TRAIN,NA,0
POLICE BRUTALITY,I endorse the fact that police brutality exist. Can you give me some pro arguments on the subject?,TRAIN,NA,0
POLICE BRUTALITY,I oppose the fact that police brutality exist. Can you give me some arguments against it?,TRAIN,NA,0
POLICE BRUTALITY,What do you think of the fact that police brutality exist?,TRAIN,NA,0
POLICE BRUTALITY,Tell me more about the fact that police brutality exist,TRAIN,NA,0
POLICE BRUTALITY,"I support the fact that police brutality exist, what about you?",TRAIN,NA,0
POLICE BRUTALITY,Can you give me some argument against the fact that police brutality exist?,TRAIN,NA,0
POLICE BRUTALITY,Are you against the fact that police brutality exist?,TRAIN,NA,0
POLICE BRUTALITY,"Everyone should back up the fact that police brutality exist, right?",TRAIN,NA,0
PORNOGRAPHY,Can you explain to me why there is a polemic about pornography?,TRAIN,NA,0
PORNOGRAPHY,How do you feel about pornography?,TRAIN,NA,0
PORNOGRAPHY,I endorse pornography. Can you give me some pro arguments on the subject?,TRAIN,NA,0
PORNOGRAPHY,I oppose pornography. Can you give me some arguments against it?,TRAIN,NA,0
PORNOGRAPHY,What do you think of pornography?,TRAIN,NA,0
PORNOGRAPHY,Tell me more about pornography,TRAIN,NA,0
PORNOGRAPHY,"I support pornography, what about you?",TRAIN,NA,0
PORNOGRAPHY,Can you give me some argument against pornography?,TRAIN,NA,0
PORNOGRAPHY,Are you against pornography?,TRAIN,NA,0
PORNOGRAPHY,"Everyone should back up pornography, right?",TRAIN,NA,0
PRESCRIPTION DRUG PRICES,Can you explain to me why there is a polemic about current prescription drug prices?,TRAIN,NA,0
PRESCRIPTION DRUG PRICES,How do you feel about current prescription drug prices?,TRAIN,NA,0
PRESCRIPTION DRUG PRICES,I endorse current prescription drug prices. Can you give me some pro arguments on the subject?,TRAIN,NA,0
PRESCRIPTION DRUG PRICES,I oppose current prescription drug prices. Can you give me some arguments against them?,TRAIN,NA,0
PRESCRIPTION DRUG PRICES,What do you think of current prescription drug prices?,TRAIN,NA,0
PRESCRIPTION DRUG PRICES,Tell me more about current prescription drug prices,TRAIN,NA,0
PRESCRIPTION DRUG PRICES,"I support current prescription drug prices, what about you?",TRAIN,NA,0
PRESCRIPTION DRUG PRICES,Can you give me some argument against current prescription drug prices?,TRAIN,NA,0
PRESCRIPTION DRUG PRICES,Are you against current prescription drug prices?,TRAIN,NA,0
PRESCRIPTION DRUG PRICES,"Everyone should back up current prescription drug prices, right?",TRAIN,NA,0
PRIVATE PRISONS,Can you explain to me why there is a polemic about private prisons?,TRAIN,NA,0
PRIVATE PRISONS,How do you feel about private prisons?,TRAIN,NA,0
PRIVATE PRISONS,I endorse private prisons. Can you give me some pro arguments on the subject?,TRAIN,NA,0
PRIVATE PRISONS,I oppose private prisons. Can you give me some arguments against them?,TRAIN,NA,0
PRIVATE PRISONS,What do you think of private prisons?,TRAIN,NA,0
PRIVATE PRISONS,Tell me more about private prisons,TRAIN,NA,0
PRIVATE PRISONS,"I support private prisons, what about you?",TRAIN,NA,0
PRIVATE PRISONS,Can you give me some argument against private prisons?,TRAIN,NA,0
PRIVATE PRISONS,Are you against private prisons?,TRAIN,NA,0
PRIVATE PRISONS,"Everyone should back up private prisons, right?",TRAIN,NA,0
PROSTITUTION LEGALIZATION,Can you explain to me why there is a polemic about prostitution legalization?,TRAIN,NA,0
PROSTITUTION LEGALIZATION,How do you feel about prostitution legalization?,TRAIN,NA,0
PROSTITUTION LEGALIZATION,I endorse prostitution legalization. Can you give me some pro arguments on the subject?,TRAIN,NA,0
PROSTITUTION LEGALIZATION,I oppose prostitution legalization. Can you give me some arguments against it?,TRAIN,NA,0
PROSTITUTION LEGALIZATION,What do you think of prostitution legalization?,TRAIN,NA,0
PROSTITUTION LEGALIZATION,Tell me more about prostitution legalization,TRAIN,NA,0
PROSTITUTION LEGALIZATION,"I support prostitution legalization, what about you?",TRAIN,NA,0
PROSTITUTION LEGALIZATION,Can you give me some argument against prostitution legalization?,TRAIN,NA,0
PROSTITUTION LEGALIZATION,Are you against prostitution legalization?,TRAIN,NA,0
PROSTITUTION LEGALIZATION,"Everyone should back up prostitution legalization, right?",TRAIN,NA,0
RECREATIONAL MARIJUANA LEGALIZATION,Can you explain to me why there is a polemic about recreational marijuana legalization?,TRAIN,NA,0
RECREATIONAL MARIJUANA LEGALIZATION,How do you feel about recreational marijuana legalization?,TRAIN,NA,0
RECREATIONAL MARIJUANA LEGALIZATION,I endorse recreational marijuana legalization. Can you give me some pro arguments on the subject?,TRAIN,NA,0
RECREATIONAL MARIJUANA LEGALIZATION,I oppose recreational marijuana legalization. Can you give me some arguments against it?,TRAIN,NA,0
RECREATIONAL MARIJUANA LEGALIZATION,What do you think of recreational marijuana legalization?,TRAIN,NA,0
RECREATIONAL MARIJUANA LEGALIZATION,Tell me more about recreational marijuana legalization,TRAIN,NA,0
RECREATIONAL MARIJUANA LEGALIZATION,"I support recreational marijuana legalization, what about you?",TRAIN,NA,0
RECREATIONAL MARIJUANA LEGALIZATION,Can you give me some argument against recreational marijuana legalization?,TRAIN,NA,0
RECREATIONAL MARIJUANA LEGALIZATION,Are you against recreational marijuana legalization?,TRAIN,NA,0
RECREATIONAL MARIJUANA LEGALIZATION,"Everyone should back up recreational marijuana legalization, right?",TRAIN,NA,0
REFORMATIVE JUSTICE,Can you explain to me why there is a polemic about reformative justice?,TRAIN,NA,0
REFORMATIVE JUSTICE,How do you feel about reformative justice?,TRAIN,NA,0
REFORMATIVE JUSTICE,I endorse reformative justice. Can you give me some pro arguments on the subject?,TRAIN,NA,0
REFORMATIVE JUSTICE,I oppose reformative justice. Can you give me some arguments against it?,TRAIN,NA,0
REFORMATIVE JUSTICE,What do you think of reformative justice?,TRAIN,NA,0
REFORMATIVE JUSTICE,Tell me more about reformative justice,TRAIN,NA,0
REFORMATIVE JUSTICE,"I support reformative justice, what about you?",TRAIN,NA,0
REFORMATIVE JUSTICE,Can you give me some argument against reformative justice?,TRAIN,NA,0
REFORMATIVE JUSTICE,Are you against reformative justice?,TRAIN,NA,0
REFORMATIVE JUSTICE,"Everyone should back up reformative justice, right?",TRAIN,NA,0
REPARATIONS FOR SLAVERY,Can you explain to me why there is a polemic about reparations for slavery?,TRAIN,NA,0
REPARATIONS FOR SLAVERY,How do you feel about reparations for slavery?,TRAIN,NA,0
REPARATIONS FOR SLAVERY,I endorse reparations for slavery. Can you give me some pro arguments on the subject?,TRAIN,NA,0
REPARATIONS FOR SLAVERY,I oppose reparations for slavery. Can you give me some arguments against them?,TRAIN,NA,0
REPARATIONS FOR SLAVERY,What do you think of reparations for slavery?,TRAIN,NA,0
REPARATIONS FOR SLAVERY,Tell me more about reparations for slavery,TRAIN,NA,0
REPARATIONS FOR SLAVERY,"I support reparations for slavery, what about you?",TRAIN,NA,0
REPARATIONS FOR SLAVERY,Can you give me some argument against reparations for slavery?,TRAIN,NA,0
REPARATIONS FOR SLAVERY,Are you against reparations for slavery?,TRAIN,NA,0
REPARATIONS FOR SLAVERY,"Everyone should back up reparations for slavery, right?",TRAIN,NA,0
RIGHT TO HEALTH CARE,Can you explain to me why there is a polemic about seeing health care as a right?,TRAIN,NA,0
